,train,val,test
accuracy,0.9658780256391372,0.964718595227375,0.9686708423525077
AUC,0.7978560861193209,0.7812816391677488,0.7932432489527247
precision,0.5983263598326359,0.4074074074074074,0.3953488372093023
recall-sensitivity,0.01804871891960116,0.011287839917906618,0.012578616352201259
specificity,0.9995693058646185,0.9994027176347619,0.999382048509192
TN,445600,53544,84097
FN,15560,1927,2669
TP,286,22,34
FP,192,32,52
