,train,val,test
accuracy,0.9745319926002626,0.9734533993696534,0.976546308663013
AUC,0.7952846832559918,0.7795720154659651,0.7697126244127572
precision,0.7666666666666667,0.0,nan
recall-sensitivity,0.0019536226959993206,0.0,0.0
specificity,0.9999844397763774,0.9999444999445,1.0
TN,449858,54051,84815
FN,11750,1471,2037
TP,23,0,0
FP,7,3,0
