,train,val,test
accuracy,0.965951676421785,0.9639441692931112,0.9690623129001059
AUC,0.7956450044691873,0.7776517388683002,0.7857909092719764
precision,0.6386946386946387,0.40816326530612246,0.4117647058823529
recall-sensitivity,0.017301256551114478,0.010035122930255895,0.01309880239520958
specificity,0.999652311233039,0.9994582679518792,0.9994060346875743
TN,445646,53503,84130
FN,15563,1973,2637
TP,274,20,35
FP,155,29,50
