,train,val,test
accuracy,0.9639176151010099,0.9621071589374156,0.9673812923133607
AUC,0.7912286012656997,0.7720199929306196,0.780274085851552
precision,0.6107142857142858,0.375,0.3157894736842105
recall-sensitivity,0.010227884442849453,0.0057251908396946565,0.006401137980085348
specificity,0.9997550115863787,0.9996256714518332,0.9995359352689196
TN,444810,53409,84001
FN,16548,2084,2794
TP,171,12,18
FP,109,20,39
