,train,val,test
accuracy,0.9634887076020605,0.9614588023412877,0.9681987749274628
AUC,0.7817319375756859,0.759371747728811,0.7681780178746997
precision,0.6190476190476191,0.42424242424242425,0.3333333333333333
recall-sensitivity,0.010753323485967504,0.006557377049180328,0.006559766763848397
specificity,0.9997481521790458,0.999644128113879,0.9995719788842916
TN,444601,53371,84072
FN,16743,2121,2726
TP,182,14,18
FP,112,19,36
