,train,val,test
accuracy,0.9761653070154537,0.9754344889689329,0.9787339381937088
AUC,0.8173565141376551,0.7997061310138676,0.800988793839179
precision,0.8,0.2,0.25
recall-sensitivity,0.005430847212165098,0.0007347538574577516,0.0010851871947911015
specificity,0.999966710313145,0.9999261502104719,0.9999294192379631
TN,450575,54160,85003
FN,10988,1360,1841
TP,60,1,2
FP,15,4,6
