,train,val,test
accuracy,0.9653754673575399,0.9630616839261594,0.9702597522221711
AUC,0.7937419217076569,0.77284754083591,0.780548529192396
precision,0.6062992125984252,0.4444444444444444,0.3116883116883117
recall-sensitivity,0.01437908496732026,0.009775171065493646,0.009397024275646046
specificity,0.9996633548262575,0.9995325267862152,0.9993712780848893
TN,445423,53454,84245
FN,15834,2026,2530
TP,231,20,24
FP,150,25,53
