,train,val,test
accuracy,0.9802117676621075,0.9782620441242683,0.9818311610555888
AUC,0.8040125448045214,0.7827269663182348,0.7822717222909834
precision,0.7058823529411765,0.0,nan
recall-sensitivity,0.002623237512296426,0.0,0.0
specificity,0.999977900015249,0.9999263650086521,1.0
TN,452479,54318,85274
FN,9125,1203,1578
TP,24,0,0
FP,10,4,0
