,train,val,test
accuracy,0.9777098072515694,0.9763890139576767,0.9807028047713351
AUC,0.7836123473085114,0.7639620718847622,0.7557441080022317
precision,0.7586206896551724,0.0,nan
recall-sensitivity,0.0021348859776807376,0.0,0.0
specificity,0.9999844903873637,0.9999446668019256,1.0
TN,451326,54214,85176
FN,10283,1308,1676
TP,22,0,0
FP,7,3,0
